round_id,Round,firm_num,consumer_gini,firm_gini
1-1,1,1,0.5096045197740113,0.0
1-2,2,1,0.5096045197740113,0.0
1-3,3,1,0.5096045197740113,0.0
1-4,4,1,0.5096045197740113,0.0
1-5,5,1,0.5096045197740113,0.0
1-6,6,1,0.5096045197740113,0.0
1-7,7,1,0.5096045197740113,0.0
1-8,8,1,0.5096045197740113,0.0
1-9,9,1,0.5096045197740113,0.0
1-10,10,1,0.5096045197740113,0.0
2-1,1,2,0.20827740492170022,0.09999999999999987
2-2,2,2,0.20790960451977392,0.09999999999999987
2-3,3,2,0.20923423423423415,0.09999999999999987
2-4,4,2,0.20673400673400644,0.09999999999999987
2-5,5,2,0.20536912751677838,0.09999999999999987
2-6,6,2,0.20852974186307538,0.09999999999999987
2-7,7,2,0.2049717514124294,0.09999999999999987
2-8,8,2,0.20763187429854102,0.09999999999999987
2-9,9,2,0.2064876957494406,0.09999999999999987
2-10,10,2,0.2115942028985507,0.09999999999999987
3-1,1,3,0.24031725049570385,0.03921568627451011
3-2,2,3,0.23358433734939754,0.11398963730569966
3-3,3,3,0.23685158501440906,0.07843137254901977
3-4,4,3,0.268953634085213,0.05752961082910346
3-5,5,3,0.24661139623634698,0.03921568627451011
3-6,6,3,0.24164438502673802,0.09715242881072061
3-7,7,3,0.28705089820359286,0.04060913705583791
3-8,8,3,0.31960702341137126,0.10613598673300184
3-9,9,3,0.24751420454545459,0.03921568627450989
3-10,10,3,0.23970170454545459,0.03921568627450989
4-1,1,4,0.17234042553191475,0.19444444444444442
4-2,2,4,0.17566034678334153,0.16176470588235303
4-3,3,4,0.18466120625465354,0.18534482758620663
4-4,4,4,0.17792902284880863,0.16176470588235303
4-5,5,4,0.15987186953989485,0.15748898678414092
4-6,6,4,0.17030239205656694,0.14565217391304364
4-7,7,4,0.20386904761904745,0.18243243243243223
4-8,8,4,0.1963795255930083,0.15410958904109595
4-9,9,4,0.19422033152413043,0.14565217391304364
4-10,10,4,0.17694117647058816,0.16176470588235303
5-1,1,5,0.2549523665507336,0.15555555555555567
5-2,2,5,0.2728571428571427,0.11962616822429895
5-3,3,5,0.24013157894736836,0.14205607476635485
5-4,4,5,0.2549523665507336,0.15555555555555567
5-5,5,5,0.2549523665507336,0.15555555555555567
5-6,6,5,0.2549523665507336,0.15555555555555567
5-7,7,5,0.2549523665507336,0.15555555555555567
5-8,8,5,0.2549523665507336,0.15555555555555567
5-9,9,5,0.2549523665507336,0.15555555555555567
5-10,10,5,0.2549523665507336,0.15555555555555567
6-1,1,6,0.24091919940696815,0.20175438596491202
6-2,2,6,0.2400000000000002,0.24074074074074092
6-3,3,6,0.31155015197568403,0.22413793103448287
6-4,4,6,0.34702139965297873,0.24011299435028222
6-5,5,6,0.33756534727408494,0.2333333333333334
6-6,6,6,0.33756534727408494,0.2333333333333334
6-7,7,6,0.33756534727408494,0.2333333333333334
6-8,8,6,0.33756534727408494,0.2333333333333334
6-9,9,6,0.33756534727408494,0.2333333333333334
6-10,10,6,0.33756534727408494,0.2333333333333334
7-1,1,7,0.22500662954123563,0.2551020408163265
7-2,2,7,0.25187969924812004,0.255639097744361
7-3,3,7,0.2727807172251613,0.2660098522167489
7-4,4,7,0.29913671953423004,0.2463492063492061
7-5,5,7,0.28018433179723523,0.26065162907268213
7-6,6,7,0.22072072072072113,0.21804511278195493
7-7,7,7,0.23305084745762716,0.20408163265306167
7-8,8,7,0.2512315270935963,0.24954792043399632
7-9,9,7,0.12764932562620435,0.2545018007202884
7-10,10,7,0.16513292433537852,0.20952380952380967
8-1,1,8,0.16914893617021276,0.3624999999999998
8-2,2,8,0.2098765432098766,0.3486842105263155
8-3,3,8,0.282239819004525,0.33204467353951883
8-4,4,8,0.21335200746965488,0.39922145328719716
8-5,5,8,0.282300224047797,0.3630952380952379
8-6,6,8,0.26048951048951063,0.40254237288135575
8-7,7,8,0.2512487512487511,0.36590909090909096
8-8,8,8,0.27910958904109573,0.4027777777777781
8-9,9,8,0.24209860935524663,0.39183501683501687
8-10,10,8,0.29266750948166886,0.3678825622775801
9-1,1,9,0.17483623221142963,0.3976608187134505
9-2,2,9,0.24193548387096775,0.39766081871345027
9-3,3,9,0.2970425739356515,0.4281045751633985
9-4,4,9,0.2968749999999998,0.4259259259259258
9-5,5,9,0.3340000000000001,0.43453118546055336
9-6,6,9,0.3388535031847135,0.4340900039824771
9-7,7,9,0.29249011857707496,0.3794037940379402
9-8,8,9,0.2834821428571428,0.37681159420289845
9-9,9,9,0.2533156498673741,0.3749999999999998
9-10,10,9,0.3377723970944311,0.3738562091503268
10-1,1,10,0.10924596050269275,0.3799999999999999
10-2,2,10,0.17044817927170852,0.3800000000000001
10-3,3,10,0.39368932038835003,0.3632258064516125
10-4,4,10,0.3733333333333333,0.3602564102564103
10-5,5,10,0.5892857142857144,0.5740000000000001
10-6,6,10,0.3349753694581279,0.5124031007751935
10-7,7,10,,0.0
10-8,8,10,0.35451505016722384,0.40441176470588225
10-9,9,10,0.5194805194805197,0.4134751773049643
10-10,10,10,0.4218750000000002,0.5062499999999999
